SiteName,time,"latitude[unit=""degrees_north""]","longitude[unit=""degrees_east""]",deficit_CCSM4_rcp45
bearlake_fromgrid,2020-03-04T12:00:00Z,38.90637149,-105.2989972,0.0
bearlake_fromgrid,2020-03-05T12:00:00Z,38.90637149,-105.2989972,0.0
bearlake_fromgrid,2020-03-06T12:00:00Z,38.90637149,-105.2989972,0.0
bearlake_fromgrid,2020-03-07T12:00:00Z,38.90637149,-105.2989972,0.0
bearlake_fromgrid,2020-03-08T12:00:00Z,38.90637149,-105.2989972,0.0
bearlake_fromgrid,2020-03-09T12:00:00Z,38.90637149,-105.2989972,0.0
bearlake_fromgrid,2020-03-10T12:00:00Z,38.90637149,-105.2989972,0.0
bearlake_fromgrid,2020-03-11T12:00:00Z,38.90637149,-105.2989972,0.0
bearlake_fromgrid,2020-03-12T12:00:00Z,38.90637149,-105.2989972,0.0
bearlake_fromgrid,2020-03-13T12:00:00Z,38.90637149,-105.2989972,0.0
bearlake_fromgrid,2020-03-14T12:00:00Z,38.90637149,-105.2989972,0.0
bearlake_fromgrid,2020-03-15T12:00:00Z,38.90637149,-105.2989972,0.0
bearlake_fromgrid,2020-03-16T12:00:00Z,38.90637149,-105.2989972,0.0
bearlake_fromgrid,2020-03-17T12:00:00Z,38.90637149,-105.2989972,0.0
bearlake_fromgrid,2020-03-18T12:00:00Z,38.90637149,-105.2989972,0.0
bearlake_fromgrid,2020-03-19T12:00:00Z,38.90637149,-105.2989972,0.0
bearlake_fromgrid,2020-03-20T12:00:00Z,38.90637149,-105.2989972,0.0
bearlake_fromgrid,2020-03-21T12:00:00Z,38.90637149,-105.2989972,0.0
bearlake_fromgrid,2020-03-22T12:00:00Z,38.90637149,-105.2989972,0.0
bearlake_fromgrid,2020-03-23T12:00:00Z,38.90637149,-105.2989972,0.0
bearlake_fromgrid,2020-03-24T12:00:00Z,38.90637149,-105.2989972,0.0
bearlake_fromgrid,2020-03-25T12:00:00Z,38.90637149,-105.2989972,0.0
